id,msg
RwGfqexvlts,transcript file already exists
WfLHhO-bCFE,transcript file already exists
T6LAwn7qlpE,transcript file already exists
MP_nWuLYpJw,transcript file already exists
PIsIE0oHGgo,transcript file already exists
mv1z2p3to0U,transcript file already exists
dVRl1aP28BI,transcript file already exists
akO6D_tc0lo,transcript file already exists
7UEIBdMyj9g,transcript file already exists
bJUiWdM__Qw,transcript file already exists
KUu2gJn1dzc,transcript file already exists
Zru1yk--rGQ,transcript file already exists
-Vy12e0LjX4,transcript file already exists
vjZXcapkFEU,transcript file already exists
uEjMyHccX8U,transcript file already exists
A_l8_C-EO38,transcript file already exists
eVgmI-YF16g,ok
PsuoXi2D6tM,ok
OmwE0aJqkdA,ok
12,video has no captions
eQ9eY0_DoEk,ok
7H3z3J50XCs,ok
iX7Dzr2whWQ,ok
Q2ezpExQ_k0,ok
roCX0AfBseQ,ok
ZsBWgeQHjnM,ok
h2sRyjR1mFc,video has no captions
basFyoMSjds,ok
HsxBw6ls7Z0,ok
22kHNWK1eLk,ok
hXYoduN0kWs,ok
wBhhlE92mIQ,ok
GXDQOSbcmv4,ok
KxPgrGdSHh8,ok
8DCw_eR_iPA,ok
27mUWs2wjPs,ok
pw2A03Z91FI,ok
MbRm5s3i2ik,ok
nEoSBL25RO4,ok
6PTuUMJ2Uh8,ok
7EnWiGYT1g4,ok
exQ6oGefSiA,ok
2uHhKAjnvNc,ok
6uIK3o32hig,ok
v5tJBLfeurU,ok
VnXu22HZBNQ,ok
Y_hc07rAQlc,ok
UvIkojfQDxA,ok
Enan6eEmtqM,ok
VgtpaBOkvrA,ok
5_sdhAFGmbw,ok
GO5P3fLTwA0,ok
xugufifsB4s,ok
S7eUmZ4Sp3U,ok
A7afwIxo5lE,ok
lhc_bXGvmp0,ok
FoztKuXEYnQ,ok
BagY2Mnz-TU,ok
LGAfo5unZaw,ok
Bz1IXK6ahu0,ok
XIZxT7iI-QI,ok
1AxLzMJIgxM,ok
NHA9Ffaal2M,ok
Upqp21Dm5vg,ok
O0ZCSQF2sSA,ok
bLW-o5UTWKU,ok
lnB7svFAZBs,ok
PFDElc5sfSM,ok
gcQ7LHsTNdc,ok
L1kgO1I9NvQ,ok
LXDAu8DnALw,ok
HdSLKZ6LN94,ok
G4BxOhJOmUw,ok
wjoeVwJTUTA,ok
wDaogBStdZ4,ok
HpzbyjyUf1k,ok
O-H_Ybmtu_U,ok
hR6agVkRRUo,ok
UCZVSr2Xt2k,ok
N4CbgmRezs4,ok
Hez55mhB8UA,ok
7VC4zX1vDE4,ok
ABtt5y-maO4,ok
mnT4MDdEazs,ok
kBo7FK3NO6s,ok
R-GuYMLjMTw,ok
y3PoXXoGVj0,ok
74tZ-yOOPy0,ok
Mf4wwXM2o_M,ok
GuLhn9fJBXY,ok
evzWEXpW1pM,ok
NSi-MniOTqI,ok
4QDDxmtbUsw,ok
ZY63ZSUdywY,ok
7cqYiUmutGI,ok
AwS_DIMeVoM,ok
JLlL_a0PX98,ok
qbMTukAJskQ,ok
akA_Z9Xmnvc,ok
xBGoJUxxRqU,ok
cr2wUlNSFg0,video has no captions
WRA3a7c4Qt4,ok
iZUfPIKbgUM,ok
DkiyT-dnmv8,ok
TkWmK-cplV4,ok
ylxzfecackM,ok
dn_aaxZIA2o,ok
iErqWGwso7o,ok
hwjdXBxeWsc,ok
CFatEWNx5RQ,ok
eA6uLMsl9w0,ok
baG767jr8c8,ok
KKoOIyhJwA4,ok
ROAmMJeTO6Y,ok
u0feM_2mLvo,ok
NgloGi5xEa8,ok
yFZwFs--XbQ,ok
atLL2Yzi3bg,ok
KObL442PWhQ,ok
Y8hi6A5MPVY,ok
2U_0OlCizx0,ok
E_8wQsmjn0A,ok
4o_7xoucHnY,ok
44fjX-rgJ7s,ok
qeltSXT91ro,ok
uwV9cq9DRTY,ok
nbCgfiqq-5c,ok
95M8W1JgH_0,ok
VGsIsfIyz4E,ok
YV9XuvfIudY,ok
6HBPHRDEt_Q,ok
4Rz8BPRFeiA,ok
MdirPsiHnCA,ok
DNg7Obo-DDM,ok
KKBkY-7TCw0,ok
Jizr6LR83Kk,ok
tmUximhgYnI,ok
DnuHzHHwqAw,ok
NCHOyqMUj4o,ok
x5-QoCicNfI,video has no captions
iF2yGGfGv18,ok
ImoP-Apzrsg,ok
Zghe7SNmhOs,ok
DdFKKZe73Pk,ok
yiElOt9cI8k,ok
xHR8BCFv_JY,ok
SjeS6gtPq8E,ok
nKKznGaN7PI,ok
wcJS3nQjhqM,ok
xSjVrR7KPqA,ok
6nuEgc2RVWo,ok
REBSatwHq8s,ok
hf5cl-AGYbg,ok
jFM_rJ5MtYk,ok
NlIiIv-XKhs,ok
AgFaljoriYA,ok
iq6_iUhLHo4,ok
zQm9Bk2bA_Q,ok
jFYi2QRVFOc,ok
vZuBiPBornM,ok
eD5C8ryTd1A,ok
9PWomdbZi2U,ok
wMxKbkWrvDc,ok
gAJG8JwmUpw,ok
34j9_tbM7og,ok
8hpD5strtzM,ok
5FyKxVJmsdE,ok
p73kqpqGqqQ,ok
5Ugrgl9tB2s,ok
VnrScNQDcEQ,ok
b5msQpny05I,ok
LftLcYM6Fzw,ok
0PyTpUIn4ks,ok
_szug5_YkD4,ok
M-_Df_Z_HeI,ok
RwlYqnO9DSE,ok
Dk0axPbD2pc,ok
0TvBiF9S89Q,ok
7dYWH9XA204,ok
U3LFI2mI8Y0,ok
svPa8Rd8dsU,ok
VP1uTgikarU,ok
zNY-qzp7pD0,ok
ZrJtpCTZk38,ok
3LXTGVN3ZOg,ok
8ckxhlDFNkg,ok
teQmpOtjCjY,ok
tCJ_VV0FEZM,ok
RVx90rTJIzc,ok
OFt3SThGi7M,ok
Rzd0mLf366I,ok
S-gUFvpRQoU,ok
Yj07347rEqo,ok
Y9l8iu5J6rs,ok
YUDogDKMJbE,ok
aLpPZlVsny0,ok
Bkd0LxBd2L8,ok
